symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
ORIANA,,,,,21110.0,5.37,,
VMARCIND,,,,,2648.0,10.44,,
ALPEXSOLAR,,,,,2143.0,3.98,,
SAHANA,,,,,1666.0,1.8,,
VINYAS,,,,,1441.0,1.17,,
AIMTRON,,,,,1124.0,4.64,,
TAC,,,,,1053.0,1.39,,
ABSMARINE,,,,,808.0,2.97,,
SUPREMEPWR,,,,,765.0,1.03,,
ACCENTMIC,,,,,688.0,3.75,,
FROG,,,,,497.0,1.04,,
FELIX,,,,,384.0,1.4,,
BAHETI,,,,,297.0,1.49,,
MVKAGRO,,,,,289.0,4.77,,
DPEL,,,,,252.0,1.79,,
PRIZOR,,,,,195.0,1.07,,
OLIL,,,,,61.0,1.24,,
GSMFOILS,,,,,58.0,2.13,,
ADISOFT,,,,,,1.24,,
ALPHA,,,,,,4.33,,
ALPHAETF,,,,,,1.28,,
ANAWIL,,,,,,8.51,,
ANONDITA,,,,,,7.21,,
AONELIQUID,,,,,,1.57,,
ARTEMISMED,Artemis Medicare Services Limited,,,,,11.75,,"Artemis Medicare Services Limited engages in the management and operation of multi-specialty hospitals in India and internationally. The company provides medical and surgical intervention, mix of inpatient and outpatient services. It also offers billing and insurance, childcare, emotional and support program, full body checkup, international patient, medical interpreter and record, mind body medic"
ASHUTOSH,,,,,,4.48,,
AUTOBEES,,,,,,5.12,,
AUTOIETF,,,,,,1.57,,
BANKBEES,,,,,,30.43,,
BANKETF,,,,,,1.19,,
BANKIETF,,,,,,1.77,,
BANKNIFTY1,,,,,,2.3,,
BSLGOLDETF,,,,,,5.03,,
BSLNIFTY,,,,,,2.92,,
C2C,,,,,,1.74,,
CASHIETF,,,,,,14.29,,
CONNPLEX,,,,,,1.06,,
CPSEETF,,,,,,7.04,,
CREDENT,,,,,,4.01,,
DANISH,,,,,,2.72,,
DEFENCE,,,,,,2.19,,
E2ERAIL,,,,,,4.34,,
EBBETF0430,,,,,,1.74,,
EGOLD,,,,,,2.8,,
ELIQUID,,,,,,2.26,,
ENERGY,,,,,,1.58,,
ESILVER,,,,,,2.7,,
FLYSBS,,,,,,6.62,,
FMCGIETF,,,,,,7.82,,ICICI Prudential Mutual Fund - ICICI Prudential Nifty FMCG ETF is an open-ended equity mutual fund co-launched by Prudential plc and ICICI Bank Ltd. It is managed by ICICI Prudential Asset Management Company Limited. The fund invests in the public equity markets of India. It invests in stocks of companies operating in the Fast Moving Consumer Goods sector. The fund invests in growth stocks of comp
FRESHARA,,,,,,1.65,,
GILT5YBEES,,,,,,1.14,,
GOLD1,,,,,,24.98,,
GOLDADD,,,,,,9.15,,
GOLDAXIS,,,,,,26.06,,
GOLDBEES,,,,,,294.18,,
GOLDBETA,,,,,,9.25,,
GOLDCASE,,,,,,23.04,,
GOLDETF,,,,,,20.25,,
GOLDIETF,,,,,,79.35,,
GROWWDEFNC,,,,,,2.22,,
GROWWGOLD,,,,,,3.26,,
GROWWHOSPI,,,,,,1.49,,
GROWWLIQID,,,,,,2.95,,
GROWWPOWER,,,,,,2.02,,
GROWWRAIL,,,,,,1.66,,
GROWWSLVR,,,,,,3.42,,
HDFCBSE500,,,,,,4.71,,
HDFCGOLD,,,,,,44.1,,
HDFCLIQUID,,,,,,2.47,,
HDFCNIFTY,,,,,,6.63,,HDFC Mutual Fund - HDFC NIFTY 50 ETF is an exchange traded fund co-launched by Housing Development Finance Corporation Limited and Standard Life Investments Limited. It is managed by HDFC Asset Management Company Ltd. The fund invests in the public equity markets of India. It seeks to invest in the stocks of companies operating across diversified sectors. The fund invests in the stocks of large-ca
HDFCSILVER,,,,,,63.12,,
HDFCSML250,,,,,,22.53,,
HEALTHIETF,,,,,,1.59,,
HNGSNGBEES,,,,,,3.24,,
ICICIB22,,,,,,3.07,,
INFRAIETF,,,,,,1.78,,
ITBEES,,,,,,26.79,,
ITIETF,,,,,,1.52,,
JUNIORBEES,,,,,,22.79,,
KRMAYURVED,,,,,,2.62,,
LALITHAA,Lalithaa Jewellery Mart Limited,,,,,316.68,,
LASERPOWER,Laser Power & Infra Limited,,,,,19.89,,
LICMFGOLD,,,,,,1.21,,
LIQGRWBEES,,,,,,8.21,,
LIQUID,,,,,,14.45,,
LIQUID1,,,,,,96.36,,
LIQUIDADD,,,,,,48.79,,
LIQUIDBEES,,,,,,325.5,,
LIQUIDBETF,,,,,,24.3,,
LIQUIDCASE,,,,,,200.45,,
LIQUIDETF,,,,,,9.61,,
LIQUIDIETF,,,,,,36.49,,"ICICI Prudential Mutual Fund - ICICI Prudential BSE Liquid Rate ETF - IDCW is headquartered in Mumbai, Maharashtra, India."
LIQUIDPLUS,,,,,,42.61,,
LOWVOLIETF,,,,,,2.93,,
LTGILTBEES,,,,,,2.99,,Nippon India Mutual Fund - Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt is an exchange traded fund launched by Reliance Capital Ltd. The fund is managed by Reliance Nippon Life Asset Management Limited. It invests in the fixed income markets of India. The fund invests in the government securities with maturity ranging between 8 and 13 years. It seeks to replicate the performance of the NIFT
MAFANG,,,,,,14.6,,
MAHKTECH,,,,,,1.71,,
MASPTOP50,,,,,,4.46,,
MAXVOLT,,,,,,1.27,,
METAL,,,,,,2.91,,
METALIC,,,,,,1.29,,
METALIETF,,,,,,8.39,,
MID150BEES,,,,,,14.01,,
MID150CASE,,,,,,1.4,,
MIDCAPETF,,,,,,4.42,,
MIDCAPIETF,,,,,,2.2,,
MIDSMALL,,,,,,1.28,,
MOCAPITAL,,,,,,4.47,,
MODEFENCE,,,,,,12.92,,
MOM100,,,,,,1.52,,
MOM30IETF,,,,,,1.56,,
MOMENTUM50,,,,,,2.19,,
MOMMIDCAP,,,,,,1.9,,
MON100,,,,,,19.66,,
MONIFTY500,,,,,,1.09,,
MONOLITH,,,,,,7.48,,
MONQ50,,,,,,5.25,,
MOREALTY,,,,,,4.13,,
MOSMALL250,,,,,,1.7,,
NEXT50,,,,,,2.01,,
NEXT50IETF,,,,,,3.9,,
NIFTY1,,,,,,2.16,,
NIFTYBEES,,,,,,136.39,,
NIFTYETF,,,,,,3.68,,
NIFTYIETF,,,,,,15.03,,
OBSCP,,,,,,3.12,,
OILIETF,,,,,,1.25,,
PATILAUTOM,,,,,,3.62,,
PHARMABEES,,,,,,10.55,,
PRAMODINI,,,,,,1.1,,
PSUBANK,,,,,,1.74,,
PSUBNKBEES,,,,,,12.77,,
PVTBANIETF,,,,,,4.3,,
QGOLDHALF,,,,,,3.25,,
QLINE,,,,,,7.62,,
RNFI,,,,,,1.86,,
SACHEEROME,,,,,,1.21,,
SBILIQETF,,,,,,15.97,,
SBISILVER,,,,,,24.33,,
SETFGOLD,,,,,,71.04,,
SETFNIF50,,,,,,22.25,,
SETFNIFBK,,,,,,2.29,,
SETFNN50,,,,,,2.14,,
SHANTIINOR,,,,,,4.14,,
SILVER,,,,,,20.95,,
SILVER1,,,,,,18.6,,
SILVERADD,,,,,,9.8,,Dsp Mutual Fund - Dsp Silver ETF is an open ended exchange traded mutual fund. Dsp Mutual Fund - Dsp Silver ETF is domiciled in India.
SILVERAG,,,,,,6.4,,
SILVERAXIS,,,,,,8.38,,
SILVERBEES,,,,,,370.35,,
SILVERBETA,,,,,,12.53,,
SILVERCASE,,,,,,24.59,,
SILVERIETF,,,,,,71.73,,
SMALLCAP,,,,,,6.98,,
SML100CASE,,,,,,1.37,,
SSEGL,,,,,,2.24,,
SUMAX,,,,,,3.87,,
SUNLITE,,,,,,1.84,,
TATAGOLD,,,,,,66.98,,
TATSILV,,,,,,86.48,,
TAURIAN,,,,,,1.39,,
TCC,TCC Concept Limited,,,,,6.0,,TCC Concept Limited engages in the real estate business primarily in India. It operates through Rental; Brokerage and other services; Information and Technology segments. The company carries out leasing of equipped premises and equipment; brokerage from real estate and other services; and information technology services. The company was formerly known as Aaswa Trading and Exports Limited and chang
TECHD,,,,,,1.05,,
TEJA,,,,,,1.34,,
TOP10ADD,,,,,,1.95,,
UTSSAV,,,,,,1.18,,
VIESL,,,,,,1.25,,
VIVIDEL,,,,,,4.09,,
BCG,Brightcom Group Limited,,Communication Services,Advertising Agencies,1952.0,4.6,,"Brightcom Group Limited, together with its subsidiaries, provides digital marketing solutions to businesses, agencies, and online publishers worldwide. It operates through Digital Marketing (& Related) Services; and Software Development Services segments. The company connects advertisers with their audience across various forms of digital media to deliver messages to the right audience through dig"
SIGNPOST,Signpost India Limited,,Communication Services,Advertising Agencies,1439.0,1.38,,"Signpost India Limited, together with its subsidiaries, provides advertising services in India. Its portfolio of media assets comprises street digital out-of-home (DOOH) billboards; digital bus queue shelters; hybrid mobility solutions, such as e-bikes; traffic surveillance booths; street accessible libraries; metro stations, city and electric bus fleet panels, skywalks, and airport touchpoints; i"
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,,Industrials,Aerospace & Defense,16019.0,20.38,,"Sigma Advanced Systems Limited, a defence and aerospace company, designs, develops, and manufactures mission-critical platforms, sub-systems, and components. The company provides multi-axis precision machining solutions, including turning and mill turning, multi-axis milling, solid machining, CNC grinding, and water jet cutting solutions; fabrication and assemblies, structures and precision weldin"
SWANDEF,Swan Defence and Heavy Industries Limited,,Industrials,Aerospace & Defense,14295.0,4.88,,"Swan Defence and Heavy Industries Limited engages in the construction of vessels, repairs, and refits of ships and rigs and heavy engineering in India and internationally. The company builds vessels for building large commercial; cargo and niche and specialized vessels; and defence vessels. It also provides solutions for all kinds of ships and structures including large commercial and defence vess"
UNIMECH,Unimech Aerospace and Manufacturing Limited,,Industrials,Aerospace & Defense,8645.0,30.3,,"Unimech Aerospace and Manufacturing Limited, a precision engineering solutions company, manufactures and sells tooling, precision components, electromechanical turnkey systems, and mechanical assemblies. The company operates through two segments, Aero-Tooling/MRO Tooling; and Precision Components and Assemblies. It offers Aero and MRO tooling products, such as engine stands and transportation syst"
CYIENTDLM,Cyient DLM Limited,,Industrials,Aerospace & Defense,7241.0,56.45,Electronics Manufacturing Services,"Cyient DLM Limited provides electronic manufacturing solutions in India, NAM, rest of the Asia-Pacific, Europe, the Middle East, and Africa. It offers integrated, electronics, mechanical, and additive manufacturing, as well as value-added services. The company also engages in the machining of components for the aerospace, automotive, and defense industries. It serves aerospace and defense, healthc"
ROSSTECH,Rossell Techsys Limited,,Industrials,Aerospace & Defense,5145.0,24.33,,"Rossell Techsys Limited provides engineering and manufacturing solutions for the global aerospace and defense industry in India and internationally. The company provides electrical wiring interconnection system (EWIS) services to rotary and fixed wing military platforms, commercial platforms, weapon systems, avionics, land systems, and marine and space systems, as well as EWIS installation service"
DCXINDIA,DCX Systems Limited,,Industrials,Aerospace & Defense,1805.0,5.58,,"DCX Systems Limited, together with its subsidiaries, manufactures and sells electronic systems and cable harnesses in India and Internationally. It offers cable and harness, fine wire cable, flex flat cable, backplane, and conduit assemblies; and EMI shield cable harnesses, wired enclosures, diagnostic test sets, and special/customized connectors. The company also provides electronic manufacturing"
SIKA,Sika Interplant Systems Limited,,Industrials,Aerospace & Defense,,2.67,,"Sika Interplant Systems Limited, together with its subsidiaries, engages in manufacturing and rendering of services in engineering products and engineering projects/systems for aerospace, defense and space, and automotive sectors in India. The company offers search and rescue products, such as rescue hoists/winches and air ambulance/EMS modules; landing gear and hydraulics products; and interconne"
MBAPL,Madhya Bharat Agro Products Limited,,Basic Materials,Agricultural Inputs,7043.0,14.94,,"Madhya Bharat Agro Products Limited manufactures and sells phosphatic fertilizers and industrial chemicals in India. The company offers single super phosphate (SSP); nitrogen, phosphate, and potassium (NPK) and di-ammonium phosphate (DAP) complex fertilizers; beneficiated rock phosphate; secondary nutrients, including casma products; supplements and organic products; sulphuric and phosphoric acid;"
KRISHANA,Krishana Phoschem Limited,,Basic Materials,Agricultural Inputs,5639.0,11.04,,"Krishana Phoschem Limited engages in the manufacturing, Distribution, sales, and marketing of fertilizers and chemicals under the Annadata and Bharat brands in India. It provides single super phosphate (SSP), benefited rock phosphate, di-ammonium phosphate (DAP) / nitrogen, phosphorus, and potassium (NPK), sulphuric acid, phosphoric acid, imported nitrogen, phosphorus, and potassium (NPK). It sell"
DHANUKA,Dhanuka Agritech Limited,,Basic Materials,Agricultural Inputs,4349.0,1.71,Agrochemicals,"Dhanuka Agritech Limited operates as an agro-chemical company in India. The company offers herbicides, insecticides, fungicides, and plant growth regulators in various forms, such as liquid, dust, powder, and granules. It also provides biological portfolio to control insects and protects from discase and nutrient uptake. IDhanuka Agritech Limited was founded in 1980 and is headquartered in Gurugra"
NACLIND,NACL Industries Limited,,Basic Materials,Agricultural Inputs,3371.0,5.94,,"NACL Industries Limited manufactures and sells agrochemicals in India. The company offers a range of technical products, including myclobutanil, propiconazole, profenofos, tricyclazole, pretilachlors, thiamethoxam, lambda cyhalothrin, bifenthrin, azoxystrobin, tebuconazole, difenoconazole, thifluzamide, bispyribac sodium, clodinafop propargyl, metribuzin, quizalofop ethyl, haloxyfop r methyl, and"
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,,Basic Materials,Agricultural Inputs,3187.0,1.64,,"Bhagiradha Chemicals & Industries Limited manufactures and sells crop protection chemicals in India, rest of Asia, and Europe. The company offers insecticides, such as chlorpyrifos, chlorpyrifos-methyl, diafenthiuron, fipronil, dinotefuran, thiamethoxam, imidacloprid, pymetrozine, and chlorantraniliprole; fungicides, including azoxystrobin and trifloxystrobin; herbicides comprising triclopyr, cloq"
GSPCROP,GSP Crop Science Limited,,Basic Materials,Agricultural Inputs,2284.0,12.87,,"GSP Crop Science Limited, together with its subsidiaries, engages in the manufacture and sale of agro chemicals in India and internationally. It offers insecticides, pesticides, and herbicides; and plant growth regulators and fungicides. The company serves farmers and institutional customers. It also exports its products. The company was incorporated in 1985 and is based in Ahmedabad, India."
BHARATRAS,Bharat Rasayan Limited,,Basic Materials,Agricultural Inputs,1843.0,1.32,Agrochemicals,"Bharat Rasayan Limited engages in the manufacture and sale of technical grade pesticides and chemical intermediates in India. It offers insecticides, herbicides, fungicides, and intermediates. The company also exports its products through multinational agrochemical companies and other traders. Bharat Rasayan Limited was incorporated in 1989 and is based in New Delhi, India."
INSECTICID,Insecticides (India) Limited,,Basic Materials,Agricultural Inputs,1743.0,1.5,Agrochemicals,"Insecticides (India) Limited manufactures and sells agrochemicals, pesticides, and technical products for agriculture in India and internationally. It offers crop protection and nutrition products, including fungicides, insecticides, herbicides, biologicals, and plant growth regulators to bulk buyers and farmers under the Tractor brand. The company sells its products through a network of distribut"
ASTEC,Astec LifeSciences Limited,,Basic Materials,Agricultural Inputs,1603.0,2.26,,"Astec LifeSciences Limited, together with its subsidiaries, manufactures and sells agrochemical active ingredients and pharmaceutical intermediates in India. The company provides triazole fungicides for use in field crops; foliar treatment for the control of scab, powdery mildew, shot-hole, blossom blight, and rust; seed treatment for the control of seed and soil-borne diseases in cotton and maize"
MOL,Meghmani Organics Limited,,Basic Materials,Agricultural Inputs,1581.0,7.4,,"Meghmani Organics Limited manufactures and sells pigments and agrochemicals in India and internationally. The company offers green and blue pigments, which are used in printing inks, paints and coatings, and plastics. It also offers agrochemical products comprising insecticides, which include acetamiprid, alphacypermethrin, bifenthrin, beta cyfluthrin, cyfluthrin, cypermethrin, deltamethrin, dinot"
IPL,India Pesticides Limited,,Basic Materials,Agricultural Inputs,1548.0,1.2,,"India Pesticides Limited, together with its subsidiaries, engages in the agrochemicals business in India and internationally. The company offers formulations such as herbicides, fungicides, insecticides, acaricides, and growth regulators; and active pharmaceutical ingredients, including anti-fungal and anti-scabies drugs. It also provides generic agrochemical technicals comprising herbicide techni"
SPIC,Southern Petrochemicals Industries Corporation  Limited,,Basic Materials,Agricultural Inputs,1359.0,2.95,,"Southern Petrochemical Industries Corporation Limited engages in the manufacture and sale of fertilizers in India and internationally. It offers primary nutrients, secondary nutrients, micronutrients, water soluble fertilizers, organic fertilizers, non-edible de-oiled cake fertilizers, bio fertilizers, organic pesticides, plant growth regulators, plant biostimulants, liquid fertilizer, nano fertil"
DHARMAJ,Dharmaj Crop Guard Limited,,Basic Materials,Agricultural Inputs,951.0,1.1,,"Dharmaj Crop Guard Limited engages in manufacturing, distributing, and marketing of a range of agro chemical formulations in India. The company's agro chemical formulations include insecticides, fungicides, herbicides, plant growth regulators, micronutrient fertilizers, and antibiotics to the B2C and B2B customers. It also manufactures and sells general insect and pest control chemicals for public"
ZUARI,Zuari Agro Chemicals Limited,,Basic Materials,Agricultural Inputs,937.0,1.82,,"Zuari Agro Chemicals Limited engages in manufacturing, trading, and marketing of chemical fertilizers and fertilizer products in India. It offers urea, DAP, MOP, and complex fertilizers; water soluble fertilizers; seeds; and pesticides. The company also provides micronutrients, organic products, soil conditioners, and agri fluids; and analytical and advisory services. In addition, it operates a re"
ADVANCE,Advance Agrolife Limited,,Basic Materials,Agricultural Inputs,693.0,1.45,,"Advance Agrolife Limited, an agrochemical company, engages in the business of manufacturing and distribution of agrochemicals in India and internationally. It offers a range of agrochemical products, which includes insecticides, herbicides, fungicides, and plant growth regulators for use in cultivation of cereals, vegetables, and horticultural crops across both agri-seasons. The company also manuf"
BESTAGRO,Best Agrolife Limited,,Basic Materials,Agricultural Inputs,658.0,1.14,,"Best Agrolife Limited engages in the manufacture and sale of agrochemical products in India and internationally. It offers insecticides, herbicides, fungicides, public-health, and plant growth regulator (PGR) products in the form of technical, intermediates, and novel formulations. The company also offers Ronfen, and insecticide; Nemagen, a novel insecticide combination; Defender, a dual-action in"
SHIVALIK,Shivalik Rasayan Limited,,Basic Materials,Agricultural Inputs,640.0,1.85,,"Shivalik Rasayan Limited produces and sells chemicals for the protection of plants in India. The company offers Dimethoate technical used in the preparation of formulations for use in the control of various insects and mites; and Malathion technical, an organophosphorus based contact insecticide used in the agricultural production of various food/feed crops. It also provides insecticides, such as"
ARIES,Aries Agro Limited,,Basic Materials,Agricultural Inputs,602.0,1.53,,"Aries Agro Limited, together with its subsidiaries, engages in the manufacturing and sale of micronutrients and other nutritional products for plants and animals. The company offers micronutrients, water soluble NPK, organic and bio products, high density inputs, crop specific, slow release fertilizers pastilles, plant protection, aqua culture and animal nutrition, urban products, and other produc"
TAALTECH,Taal Tech Limited,,Industrials,Airports & Air Services,,3.74,,"TAAL Tech Limited provides engineering design services in India and internationally. The company offers BIM services, engineering design and analysis, manufacturing engineering services, integrated project delivery, integrated asset management, center of excellence, technical publication, and digital twin services, as well as digital support services. It serves the architecture, engineering, and c"
VAML,Vedanta Aluminium Metal Limited,,Basic Materials,Aluminum,161261.0,290.19,,"Vedanta Aluminium Metal Limited engages in the production of metallurgical grade alumina and aluminium products. The company provides aluminium ingots, foundry alloys, billets, slabs, wire rods, flip coils, and rolled and other products products under the VEDANTAL brand name. It also operates an independent power plant with a capacity of 3015 megawatts. The company products are used in aerospace,"
ARFIN,Arfin India Limited,,Basic Materials,Aluminum,1538.0,8.58,,"Arfin India Limited manufactures and trades in ferrous and non-ferrous metals in India. Its products include conductor and cables, aluminum wire rods, cored wire, ferro alloys, inoculant, aluminum deox, and aluminum alloys ingots. It serves electrical transmission and distribution, steel, foundry, construction, packaging, and infrastructure industries. The company also exports its products. Arfin"
MMP,MMP Industries Limited,,Basic Materials,Aluminum,1213.0,3.25,,"MMP Industries Limited engages in the manufacture, sale, distribution, and trade of aluminium products in India. It operates in four segments: Aluminium Powders and Pastes, Aluminium Conductors, Aluminium Foils, Insulators, and Others. The company offers pyro, flake, and atomized aluminum powders for use in various sectors, including construction, mining and infrastructure, agriculture, defense, p"
CMRGREEN,CMR Green Technologies Limited,,Basic Materials,Aluminum,,10.44,,"CMR Green Technologies Limited manufactures and sells aluminum and zinc die-casting alloys in India and internationally. It offers recycled aluminium alloy ingots, zinc alloy ingots, liquid and ingot aluminium alloy, aluminium billets, and stainless steel recycling, as well as segregated furnace ready scrap of stainless steel, copper, brass, zinc, lead, magnesium, and others. The company was incor"
LUXIND,Lux Industries Limited,,Consumer Cyclical,Apparel Manufacturing,3586.0,2.31,,"Lux Industries Limited engages in the manufacture and sale of knitwear for men, women, and kids in India and internationally. The company offers vests, briefs, boxers, drawers and trunks, T-shirts, Bloomers, hoodies and sweatshirts, polo and tees, shorts, tracks, capri, tops and bottoms, summer and winter wear, leggings, track pants, racer backs, camisole straps, slips, loungers and pyjamas, bras,"
KKCL,Kewal Kiran Clothing Limited,,Consumer Cyclical,Apparel Manufacturing,2995.0,1.25,,"Kewal Kiran Clothing Limited manufacturing, marketing, and retailing of branded readymade garments and finished accessories in India and internationally. It offers jeans, shirts, trousers, t-shirt, and other products; and winterwear under the Killer, Easies, Lawman, junior killer, Kraus, Integriti, and Desi Belle brand names. The company distributes its products through exclusive brand outlets, la"
SPAL,S. P. Apparels Limited,,Consumer Cyclical,Apparel Manufacturing,2446.0,5.41,,"S.P. Apparels Limited, together with its subsidiaries, manufactures and exports knitted garments for infant wear, children's apparel, and intimate wear in India and internationally. The company offers yarns, fabrics, and cotton waste products under the Angel & Rocket brand. The company also provides dyeing, embroidery, and printing services. In addition, it engages in the manufacture, distribution"
CANTABIL,Cantabil Retail India Limited,,Consumer Cyclical,Apparel Manufacturing,2016.0,2.41,,"Cantabil Retail India Limited engages in designing, manufacturing, branding, and retailing of apparel and apparel accessories in India. The company offers formal-wear, party-wear, wedding wear and casuals clothing for men, women, girls, boys, footwear, accessories, active wear and innerwear for men, women, and kids under the Cantabil brand name. The company was incorporated in 1989 and is headquar"
DOLLAR,Dollar Industries Limited,,Consumer Cyclical,Apparel Manufacturing,1561.0,1.87,,"Dollar Industries Limited manufactures and sells hosiery products in knitted inner wears, casual wears, and thermal wears in India and internationally. The company offers vests, briefs, trunks, gym vests, socks, tank tops, crew necks, polos, henley, bermudas, capri, track pants, and joggers for men; camisoles, panties, leggings, socks, leg wears, kurti, and casual wears for women; and T-shirts, so"
IRISDOREME,Iris Clothings Limited,,Consumer Cyclical,Apparel Manufacturing,1234.0,4.87,,"Iris Clothings Limited engages in the designing, manufacturing, branding, and sale of readymade garments in India. It offers summer wear, winter wear, sportswear, and swimwear; tops, t-shirts, pyjamas, loungewear, trousers, shorts, dresses, polyfil suits, sweatshirts, hoodies, joggers, and dryfit apparel; and accessories, including bags and bottles for infants, toddlers, boys, girls, women, and me"
MONTECARLO,Monte Carlo Fashions Limited,,Consumer Cyclical,Apparel Manufacturing,1108.0,3.53,,"Monte Carlo Fashions Limited manufactures and trades in woolen, cotton, cotton-blended, knitted, and woven garments for men, women, and kids in India and internationally. The company offers sweaters, sweatshirts, jackets, coats, T-shirts, shirts, jeans, trousers, suits, thermals, mufflers, mink blankets, bedsheets, towels, footwear, denims, jackets, sports and fitness wear; bermudas, lowers, high-"
RUPA,Rupa & Company Limited,,Consumer Cyclical,Apparel Manufacturing,1092.0,1.23,,"Rupa & Company Limited, together with its subsidiaries, manufactures, markets, sells, and distributes hosiery products in knitted undergarments, casual wears, and thermal wears for men, women, and kids in India and internationally. The company offers athleisure products, including loungers, joggers, gym vests, and t-shirts; winter wears, such as sweatshirts, upper and lower thermals, hoodies, and"
METROBRAND,Metro Brands Limited,,Consumer Cyclical,Apparel Retail,25598.0,2.92,,"Metro Brands Limited operates as a footwear specialty retailer in India. The company offers footwear for men, women, unisex, and kids under its own brands, including the Metro, Mochi, Walkway, and daVinchi, as well as third-party brands, such as Crocs, Foot Locker, MetroActiv, Clarks, New Era, FILA, FitFlop, Cheemo, Proline, Vans, and Biofoot. It also offers accessories, such as belts, bags, walle"
STYLEBAAZA,Baazar Style Retail Limited,,Consumer Cyclical,Apparel Retail,3005.0,34.51,,"Baazar Style Retail Limited engages in the retail of various apparel and non-apparel consumer products in India. It offers topwear, ethnic wear, bottomwear, and nightwear for women, and for boys and girls; shirts, t-shirts, trousers, sportswear, winter wear, and accessories for men; footwear, bags, accessories, toys, stationery, and travel products; skincare, cosmetics, hygiene and grooming essent"
GOCOLORS,Go Fashion (India) Limited,,Consumer Cyclical,Apparel Retail,1613.0,2.29,,"Go Fashion (India) Limited engages in designing, developing, sourcing, marketing, and retailing of women's and girl's bottom-wear products under the Go Colors brand in India. It offers ankle length leggings, palazzos, wide pants, kurti pants, skirts and skorts, joggers, cargos, super stretch jeggings, ethnics, printed shirts, solid shirts, short dresses, midi dresses, long dresses, t-shirts and kn"
KALAMANDIR,Sai Silks (Kalamandir) Limited,,Consumer Cyclical,Apparel Retail,1166.0,2.98,,"Sai Silks (Kalamandir) Limited engages in the retail sale of apparel in India. The company offers sarees, lehengas, men's ethnic wear, children's ethnic wear, and fashion apparel for weddings, festive occasions, celebrations, and everyday wear, as well as silver jewellery through Rasamayi Jewellery. It operates through retail and departmental stores facilities in various formats under the Kalamand"
PERNIASPOP,Purple Style Labs Limited,,Consumer Cyclical,Apparel Retail,,22.77,,"Purple Style Labs Private Limited operates as a luxury fashion house, acquiring and managing designer brands and running an omni-channel platform for premium fashion retail. The company offers luxury fashion and lifestyle products, including premium designer wear, accessories, and jewellery through online and offline channels. It owns and manages multi-brand e-commerce websites such as Pernia's Po"
SBIFUNDS,SBI Funds Management Limited,,Financial Services,Asset Management,112555.0,61.1,,"SBI Funds Management Limited is a privately owned investment manager. The firm primarily provides its services to individual and retail investors. It also caters to institutional investors and other domestic and foreign investors. The firm invests in equities, debt securities, hybrid strategies, exchange-traded funds, fund of funds, and other diversified investment assets. The firm employs fundame"
JSWHL,JSW Holdings Limited,,Financial Services,Asset Management,12436.0,3.33,,"JSW Holdings Limited engages in investing and financing activities in India. The company grants loans; and provides securities, as well as invests in securities. JSW Holdings Limited was incorporated in 2001 and is based in Mumbai, India."
GAJA,Gaja Alternative Asset Management Limited,,Financial Services,Asset Management,,20.83,,"Gaja Alternative Asset Management Limited is a private equity and venture capital firm specializing in turnaround, series C and investments in smaller end of middle market. The firm prefers to invest through growth capital and buyout. It also invests in acquisitions and shareholder settlement and considers buy-outs, turnarounds, and pre-IPO deals given an underlying growth thesis. It also invests"
LANDMARK,Landmark Cars Limited,,Consumer Cyclical,Auto & Truck Dealerships,2082.0,3.94,,"Landmark Cars Limited engages in the automotive retail business in India. It provides dealership services for Honda, Mercedes-Benz, Renault, Jeep, Volkswagen, Ashok Leyland, BYD, MG Motors, Mahindra & Mahindra, Citroen, and Kia. It also offers car accessories. The company also provides after-sales support, pre-sales consultation, roadside assistance, insurance, and financing services. Landmark Car"
ATULAUTO,Atul Auto Limited,,Consumer Cyclical,Auto Manufacturers,1246.0,3.8,,"Atul Auto Limited manufactures and sells three-wheeler automobiles in India. It operates through Automobiles Business and Non Banking Financial Business segments. The company offers cargo, passenger, and e-rickshaw vehicles, as well as spare parts and accessories. It is also involved in retail finance business. The company sells its products under the Atul RIK, Atul GEM, Atul Elite, Atul:E, Atul S"
MERCURYEV,Mercury Ev-Tech Limited,,Consumer Cyclical,Auto Manufacturers,756.0,1.39,,"Mercury Ev-Tech Limited manufactures and trades electronic vehicles and other related renewable energy products in India. It electric cars, electric rikshaw, electric carts, electric vans, electric cycles, electric scooters, electric buses and other battery powered and electric vehicle. The company was formerly known as Mercury Metals Limited and changed its name to Mercury Ev-Tech Limited in Marc"
DHOOTTRANS,Dhoot Transmission Limited,,Consumer Cyclical,Auto Parts,32366.0,448.65,,"Dhoot Transmission Limited operates as a manufacturer of wiring harnesses, automotive switches, electronic sensors and controllers, connectors, terminals, automotive cables, power cords, and related components. The company provides wiring harnesses for two-wheelers, three-wheelers, commercial vehicles, off-road vehicles, farm equipment, earth movers, medical equipment, and domestic appliances. It"
