symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
CGPOWER,CG Power and Industrial Solutions Limited,Capital Goods,Industrials,Electrical Equipment & Parts,143366.0,205.34,Power T&D Equipment,"CG Power and Industrial Solutions Limited, together with its subsidiaries, provides various solutions in India and internationally. It operates through the Power Systems, Industrial Systems, Semiconductors, and Others segments. The company offers power and distribution transformers; switchgears, including high and extra-high voltage, medium voltage, power quality, and relays and automation product"
POWERINDIA,Hitachi Energy India Limited,Capital Goods,Industrials,Electrical Equipment & Parts,142052.0,272.0,Power T&D Equipment,"Hitachi Energy India Limited offers products, projects, and services for electricity transmission and related activities in India and internationally. The company is involved in engineering, integration, installation, commissioning, and support of project and services, and design, manufacturing, configuration, and supply of system, equipment, devices, and accessories products. It also manufactures"
POLYCAB,Polycab India Limited,Capital Goods,Industrials,Electrical Equipment & Parts,126074.0,269.09,Cables & Wires,"Polycab India Limited manufactures and sells wires and cables under the POLYCAB brand in India and internationally. The company operates through three segments: Wires and Cables; Fast Moving Electrical Goods (FMEG); and Engineering, Procurement and Construction (EPC). The Wires and Cables segment provides wires, such as PolycabSuprema house wires, PolycabMaxima+ Green wire, PolycabPrimma house wir"
APARINDS,Apar Industries Limited,Capital Goods,Industrials,Electrical Equipment & Parts,79327.0,191.69,,"APAR Industries Limited engages in the electrical and metallurgical engineering business in India and internationally. It operates through Conductor, Transformer & Specialties Oils, Power/Telecom Cables, and Others segments. The company offers transformer oils, including naphthenic and iso--paraffinic grades; liquid paraffins that are used in baby oil, medical and pharma, cosmetic, food packaging"
KEI,KEI Industries Limited,Capital Goods,Industrials,Electrical Equipment & Parts,43938.0,255.12,Cables & Wires,"KEI Industries Limited manufactures, markets, and sells wires and cables in India and internationally. It operates in three segments: Cable & Wires; Engineering, Procurement and Construction; and Stainless Steel Wire. The company offers extra-high voltage, high tension, and low-tension power cables; control and instrumentation cables; specialty, single-core, and multi-core flexible cables; elastom"
HONAUT,Honeywell Automation India Limited,Capital Goods,Industrials,Electrical Equipment & Parts,30687.0,7.79,,"Honeywell Automation India Limited manufactures and sells industrial process control and automation systems in India and internationally. The company offers environmental and combustion controls, sensing and control solutions, and engineering services. It also provides building solutions, including advanced airfield ground lighting systems, visual docking and guiding systems, Navitas software for"
SCHNEIDER,Schneider Electric Infrastructure Limited,Capital Goods,Industrials,Electrical Equipment & Parts,29534.0,33.3,Power T&D Equipment,"Schneider Electric Infrastructure Limited designs, manufactures, builds, and services products and systems for electricity distribution in India and internationally. The company offers air-insulated switchgear, e-house and switchyard solutions, vacuum circuit breakers and protection relays, ring main units, gas-insulated switchgear, oil and dry type transformers, automation platforms and digital e"
RRKABEL,R R Kabel Limited,Capital Goods,Industrials,Electrical Equipment & Parts,27278.0,124.37,Cables & Wires,"R R Kabel Limited manufactures and sells wires and cables, and fast-moving electrical goods under the RR Signature brand name in India and internationally. It offers house wires, industrial wires, low and medium voltage power cables, solar, and special cables. The company also provides fans, lighting, switches, switchgear, and other accessories; and water heaters, room heaters, iron, air coolers,"
FINCABLES,Finolex Cables Limited,Capital Goods,Industrials,Electrical Equipment & Parts,21407.0,145.53,Cables & Wires,"Finolex Cables Limited engages in the manufacture and sale of electrical and communication cables, and other electrical appliances in India and internationally. The company operates through Electrical Cables, Communication Cables, Copper Rods, and Others segments. It offers PVC, flame retardant low smoke, halogen free flame retardant insulated industrial, and 3 core flat cables; communication cabl"
HBLENGINE,HBL Engineering Limited,Capital Goods,Industrials,Electrical Equipment & Parts,20785.0,64.83,,"HBL Engineering Limited manufactures and sells batteries and other products in India and internationally. It operates through Industrial batteries, Defense and Aviation batteries, and Electronics segments. The company offers lead acid batteries, nickel-cadmium batteries, silver zinc batteries, defence, and lithium batteries. It also provides rail signaling electronics, electronic fuzes for ammunit"
GRAPHITE,Graphite India Limited,Capital Goods,Industrials,Electrical Equipment & Parts,15880.0,79.54,,"Graphite India Limited manufactures and sells graphite electrodes, and carbon and graphite specialty products in India and internationally. The company operates through Graphite and Carbon, Steel, and Others segments. It offers a range of graphite electrodes with various diameter and power for AC and DC furnaces. The company also provides extruded graphite in the form of rods and blocks, mini rods"
ATLANTAELE,Atlanta Electricals Limited,Capital Goods,Industrials,Electrical Equipment & Parts,13037.0,19.27,,"Atlanta Electricals Limited engages in the manufacture and sale of transformers to institutional and corporate customers in India. Its products include power, auto, inverter duty, generator, furnace, and transformers. It also provides after-sales support services. The company serves transmission, steel, dairies, solar, textile, construction, and infrastructure industries. Atlanta Electricals Limit"
QPOWER,Quality Power Electrical Equipments Limited,Capital Goods,Industrials,Electrical Equipment & Parts,11511.0,45.62,,"Quality Power Electrical Equipments Limited provides power products and solutions for power generation, transmission, distribution, and automation sectors in India and internationally. It offers metal enclosed capacitor banks; reactors, including series, shunt, FACTS/HVDC, and iron core reactors; transformers comprising special purpose, earthing, converter duty, dry type, and arc furnace transform"
